,dimension,term,dir,examples,example_source,synset,definition
155,Morality,double-faced,low,"['she was a deceitful double-faced eming little thing', 'a double-faced double agent', 'a double-faced infernal traitor and schemer']",WordNet,ambidextrous.s.02,marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another; - Israel Zangwill; ; - W.M.Thackeray
156,Morality,cunning,low,"['cunning men often pass for wise', 'cunning political machinations', 'a cunning scheme', 'a cunning evasive answer', 'cunning as a fox', 'cunning dick', 'a cunning old attorney']",WordNet,crafty.s.01,marked by skill in deception
157,Morality,humane,high,['The humane way of dealing with a suffering animal (= the way that causes the least pain) is to kill it quickly'],Cambridge Dictionary,humane.a.02,marked or motivated by concern with the alleviation of suffering
158,Morality,vicious,low,"['a vicious crime', 'vicious beatings', 'vicious tortures', ""stalin\'s vicious treatment of the kulaks"", 'a vicious slap', 'vicious kicks']",WordNet,barbarous.s.01,(of persons or their actions) able or disposed to inflict pain or suffering
159,Morality,vicious,low,"['They were the victims of a vicious racist attack', 'He was set upon by a vicious dog', 'He was subjected to the most vicious calumny, but he never complained and never sued']",Cambridge Dictionary,evil.s.02,having the nature of vice
160,Morality,vicious,low,"['a vicious waste of talent', 'a vicious act of violence', 'adultery is as vicious for a husband as for a wife']",WordNet,condemnable.s.01,bringing or deserving severe rebuke or censure
161,Morality,scheming,low,['the most scheming and selfish men in the community'],WordNet,calculating.s.01,used of persons
162,Morality,revengeful,low,"['more revengeful than jealous love', 'punishments...essentially revengeful in their nature']",WordNet,revengeful.s.01,disposed to seek revenge or intended for revenge; - Shakespeare; - M.R.Cohen
163,Morality,treacherous,low,"['treacherous faith', 'the treacherous judas', 'the fiercest and most treacherous of foes', 'treacherous intrigues']",WordNet,punic.s.02,tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans
164,Morality,faithful,high,"['years of faithful service', 'faithful employees', 'we do not doubt that england has a faithful patriot in the lord chancellor']",WordNet,faithful.a.01,steadfast in affection or allegiance
165,Morality,exploitative,low,['an exploitative economic system'],Oxford Learner's Dictionary,exploitative.s.01,tending to exploit or make use of
166,Morality,stingy,low,"['she practices economy without being stingy', 'a stingy response to the appeal for funds']",WordNet,stingy.a.01,unwilling to spend
167,Morality,brutal,low,"['a brutal crime', 'brutal beatings', 'brutal tortures', ""stalin's brutal treatment of the kulaks"", 'a brutal slap', 'brutal kicks']",WordNet,barbarous.s.01,(of persons or their actions) able or disposed to inflict pain or suffering
168,Morality,cruelty,low,"['The deliberate cruelty of his words cut her like a knife.', 'Her stepmother showed her nothing but cruelty.', 'She was shocked to see such cruelty.']",Oxford Learner's Dictionary,cruelty.n.01,a cruel act; a deliberate infliction of pain and suffering
169,Morality,cruelty,low,"['The farmer was accused of cruelty to animals', 'I find any cruelty to children utterly repellent', 'The slaves were treated with sickening cruelty', 'The cruelty displayed by these torturers is hard to comprehend']",Cambridge Dictionary,cruelty.n.02,feelings of extreme heartlessness
170,Morality,good-natured,high,"['too good-natured to resent a little criticism', 'the good-natured policeman on our block', 'the sounds of good-natured play']",WordNet,good-natured.a.01,having an easygoing and cheerful disposition
171,Morality,truthful,high,"['a truthful statement', 'gave truthful testimony', 'a truthful person']",WordNet,truthful.a.01,expressing or given to expressing the truth
172,Morality,untruthful,low,"['the statement given under oath was untruthful', 'an untruthful person']",WordNet,untruthful.a.01,not expressing or given to expressing the truth
173,Morality,cooperative,high,['Employees will generally be more cooperative if their views are taken seriously.'],Oxford Learner's Dictionary,accommodative.s.02,willing to adjust to differences in order to obtain agreement
174,Morality,uncooperative,low,['an uncooperative witness'],WordNet,uncooperative.a.01,unwilling to cooperate
175,Morality,lenient,high,"['a lenient sentence/fine', 'The judge was far too lenient with him.']",Oxford Learner's Dictionary,lenient.s.03,characterized by tolerance and mercy
176,Morality,generous,high,['a generous donation'],WordNet,generous.a.01,willing to give and share unstintingly
177,Morality,forgiving,high,"['a kindly forgiving nature', 'a forgiving embrace to the naughty child']",WordNet,forgiving.a.01,inclined or able to forgive and show mercy
178,Morality,compassionate,high,['heard the soft and compassionate voices of women'],WordNet,compassionate.a.01,showing or having compassion
179,Morality,unforgiving,low,['a surly unforgiving old woman'],WordNet,unforgiving.a.01,unwilling or unable to forgive or show mercy
180,Morality,resentful,low,"['resentful at the way he was treated', 'a sullen resentful attitude']",WordNet,resentful.a.01,full of or marked by resentment or indignant ill will
181,Morality,reliable,high,"['a reliable source of information', 'a reliable worker']",WordNet,reliable.a.01,worthy of reliance or trust
182,Morality,reliable,high,"['a reliable worker', 'an reliable working stiff', 'a reliable sourcsfle of information', 'he was reliable to his word', 'i would be reliable for there are those who trust me']",WordNet,dependable.s.02,worthy of being depended on
183,Morality,unreliable,low,"['in the early 1950s computers were large and expensive and unreliable', 'an unreliable assistant']",WordNet,unreliable.a.02,not worthy of reliance or trust
184,Morality,irresponsible,low,"['behaved like an irresponsible idiot', 'hasty and irresponsible action']",WordNet,irresponsible.a.01,showing lack of care for consequences
185,Morality,responsible,high,"['a responsible adult', 'responsible journalism', 'a responsible position', ""the captain is responsible for the ship's safety"", 'the cabinet is responsible to the parliament']",WordNet,responsible.a.01,worthy of or requiring responsibility or trust; or held accountable
186,Morality,prejudiced,low,['a prejudiced judge'],WordNet,prejudiced.a.02,being biased or having a belief or attitude formed beforehand
187,Morality,unprejudiced,high,"['an unprejudiced appraisal of the pros and cons', 'the unprejudiced eye of a scientist']",WordNet,unprejudiced.a.01,free from undue bias or preconceived opinions
188,Morality,racist,low,['racist remarks'],WordNet,racist.s.01,based on racial intolerance
189,Morality,racist,low,"['racist attitudes/remarks', 'racist thugs/attacks']",Oxford Learner's Dictionary,racist.s.02,discriminatory especially on the basis of race or religion
190,Morality,racism,low,"['a victim of racism', 'the urgent need to address institutional racism within the organization', 'Half a million people held a mass protest against racism last night.']",Oxford Learner's Dictionary,racism.n.01,the prejudice that members of one race are intrinsically superior to members of other races
191,Morality,racism,low,"['The authorities are taking steps to combat/fight/tackle racism in schools', 'The report made it plain that institutional racism (= racism in all parts of an organization) is deep-rooted in this country']",Cambridge Dictionary,racism.n.02,discriminatory or abusive behavior towards members of another race
192,Morality,prejudice,low,"['a victim of racial prejudice', 'Their decision was based on ignorance and prejudice.']",Oxford Learner's Dictionary,bias.n.01,a partiality that prevents objective consideration of an issue or situation
193,Morality,discrimination,low,"['discrimination against the elderly', 'They alleged discrimination by the authorities.', 'Levels of discrimination against recent immigrants are high.', 'Many disabled people face discrimination at work.']",Oxford Learner's Dictionary,discrimination.n.01,unfair treatment of a person or group on the basis of prejudice
194,Morality,sexist,low,"['a sexist attitude', 'sexist language']",Oxford Learner's Dictionary,sexist.s.01,discriminatory on the basis of sex (usually said of men's attitude toward women)
195,Morality,homophobic,low,"['His homophobic comments led to his dismissal', 'Her critics say she is racist and homophobic', 'The project is aimed at helping school teachers develop good practice in countering homophobic bullying']",Cambridge Dictionary,homophobic.s.01,prejudiced against homosexual people
196,Morality,homophobia,low,"['Her aunt\’s homophobia made it difficult for her to be out at family gatherings', 'Critics of the comedian\'s new, shocking material accused him of homophobia and sexism', 'I had to fight my own internalized homophobia that told me I should be ashamed to be queer']",Cambridge Dictionary,homophobia.n.01,prejudice against (fear or dislike of) homosexual people and homosexuality
197,Morality,evil,low,"['He was a good man who was forced to do evil', 'You cannot pretend there\'s no evil in the world']",Oxford Learner's Dictionary,evil.n.01,morally objectionable behavior
198,Morality,evil,low,['the evil that men do lives after them; the good is oft interred with their bones'],WordNet,evil.n.02,that which causes harm or destruction or misfortune; - Shakespeare
199,Morality,evil,low,['attempts to explain the origin of evil in the world'],WordNet,evil.n.03,the quality of being morally wrong in principle or practice
200,Morality,good,high,['there is much good to be found in people'],WordNet,good.n.02,moral excellence or admirableness
201,Morality,evil,low,"['evil purposes', 'an evil influence', 'evil deeds']",WordNet,evil.a.01,morally bad or wrong
202,Morality,evil,low,['In his speech he described the evil effects of racism'],Oxford Learner's Dictionary,evil.s.02,having the nature of vice
203,Morality,evil,low,"['evil stars', 'a evil force']",WordNet,malefic.s.01,having or exerting a malignant influence
204,Morality,beneficent,high,['the most beneficent regime in history'],WordNet,beneficent.a.01,doing or producing good
205,Ability,competence,high,"['to gain a high level of competence in English', 'professional/technical competence']",Oxford Learner's Dictionary,competence.n.01,the quality of being adequately or well qualified physically and intellectually
206,Ability,competent,high,['a competent typist'],WordNet,competent.a.01,properly or sufficiently qualified or capable or efficient
207,Ability,incompetent,low,"['an incompetent secret service', 'the filming was hopeless incompetent']",WordNet,incompetent.a.02,not qualified or suited for a purpose
208,Ability,incompetent,low,"['a incompetent workman', 'did an incompetent job', 'his incompetent attempt to put up a shelf']",WordNet,bungling.s.01,showing lack of skill or aptitude
209,Ability,incompetent,low,['incompetent at chess'],WordNet,incompetent.s.04,not doing a good job
210,Ability,competitive,high,"['highly competitive sales representative', 'competitive in fighting for better wages for workers', 'his competitive and ubiquitous energy']",WordNet,competitive.s.03,showing a fighting disposition
211,Ability,uncompetitive,low,"['uncompetitive prices', 'an uncompetitive industry']",Oxford Learner's Dictionary,uncompetitive.s.01,not inclined to compete
212,Ability,smart,high,"['He is too ambitious, too smart for his own good.', 'That was a smart career move.']",Oxford Learner's Dictionary,smart.a.01,showing mental alertness and calculation and resourcefulness
213,Ability,smart,high,"['some children are smart er in one subject than another', 'smart children talk earlier than the average']",WordNet,bright.s.03,characterized by quickness and ease in learning
214,Ability,bright,high,"['some children are bright in one subject than another', 'bright children talk earlier than the average']",WordNet,bright.s.03,characterized by quickness and ease in learning
215,Ability,intelligent,high,"['is there intelligent life in the universe?', 'an intelligent question']",WordNet,intelligent.a.01,having the capacity for thought and reason especially to a high degree
216,Ability,intelligent,high,['intelligent readers'],WordNet,intelligent.s.02,possessing sound knowledge
217,Ability,unintelligent,low,['a dull job with lazy and unintelligent co-workers'],WordNet,unintelligent.a.01,lacking intelligence
218,Ability,intelligence,high,"['He didn\'t even have the intelligence to call for an ambulance.', 'a person of high/average/low intelligence']",Oxford Learner's Dictionary,intelligence.n.01,the ability to comprehend; to understand and profit from experience
219,Ability,stupid,low,"['the economy, stupid!']",WordNet,stupid.n.01,a person who is not very bright
220,Ability,stupid,low,"['Forgetting my notes made me look stupid', 'Her teachers thought she was stupid, but in fact she couldn\'t hear properly.']",Oxford Learner's Dictionary,stupid.a.01,lacking or marked by lack of intellectual acuity
221,Ability,stupid,low,"['he had a stupid expression on his face', 'lay semiconscious, stunned (or stupid) by the blow', 'was stupid from fatigue']",WordNet,dazed.s.01,in a state of mental numbness especially as resulting from shock
222,Ability,stupid,low,['a dull job with lazy and stupid co-workers'],WordNet,unintelligent.a.01,lacking intelligence
223,Ability,stupidity,low,"['I couldn\'t believe my own stupidity.', 'The police were astonished at the sheer stupidity of drivers in going so fast in the fog.']",Oxford Learner's Dictionary,stupidity.n.01,a poor ability to understand or to profit from experience
224,Ability,stupidity,low,['the errors and stupidity of youth'],Oxford Learner's Dictionary,stupidity.n.02,a stupid mistake
225,Ability,ignorant,low,"['an ignorant man', 'ignorant of contemporary literature', 'an unlearned group ignorant of understanding complex issues', 'exhibiting contempt for his ignorant companions']",WordNet,ignorant.s.01,uneducated in general; lacking knowledge or sophistication
226,Ability,ignorance,low,"['They fought a long battle against prejudice and ignorance', 'I hate to admit my ignorance, but how does it work?']",Oxford Learner's Dictionary,ignorance.n.01,the lack of knowledge or education
227,Ability,dumb,low,"['so dumb he never understands anything i say to him', 'never met anyone quite so dumb', 'although dumb at classical learning, at mathematics he was uncommonly quick', 'dumb officials make some really dumb decisions', 'he was either normally dumb or being deliberately obtuse', 'worked with the dumb students']",WordNet,dense.s.04,slow to learn or understand; lacking intellectual acuity; ; ; - Thackeray
228,Ability,dumbness,low,"['In a moment of drunken dumbness, he tried to stand on his head.']",Oxford Learner's Dictionary,denseness.n.01,the quality of being mentally slow and limited
229,Ability,able,high,"['able to swim', 'she was able to program her computer', 'we were at last able to buy a car', 'able to get a grant for the project']",WordNet,able.a.01,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
230,Ability,able,high,"['able teachers', 'able administrator', 'children as young as 14 can be extremely able and dependable']",WordNet,able.s.02,have the skills and qualifications to do things well
231,Ability,unable,low,"['unable to get to town without a car', 'unable to obtain funds']",WordNet,unable.a.01,(usually followed by `to') not having the necessary means or skill or know-how
232,Ability,skillful,high,"['skillful in handicrafts', 'an skillful juggler', 'a skillful job', 'a skillful mechanic', 'a skillful marksman', 'a skillful engineer', 'a lesser-known but no less skillful composer', 'the effect was achieved by skillful retouching']",WordNet,adept.s.01,having or showing knowledge and skill and aptitude
233,Ability,skill,high,"['The job requires skill and an eye for detail.', 'I admired her skill at catching fish', 'She plays the part with great skill.']",Oxford Learner's Dictionary,skill.n.01,an ability that has been acquired by training
234,Ability,skilled,high,"['only the most skilled gymnasts make an olympic team', 'a skilled surgeon has many years of training and experience', 'a skilled reconstruction of her damaged elbow', 'a skilled trade']",WordNet,skilled.a.01,having or showing or requiring special skill
235,Ability,educated,high,"['the need for a broadly educated workforce', 'They were poorly educated and spoke little English.']",Oxford Learner's Dictionary,educated.a.01,possessing an education (especially having more than average knowledge)
236,Ability,uneducated,low,"['an uneducated workforce', 'They were highly intelligent but uneducated.']",Oxford Learner's Dictionary,uneducated.a.01,not having a good education
237,Ability,education,high,['it was clear that he had a very broad education'],WordNet,education.n.02,knowledge acquired by learning and instruction
238,Ability,rational,high,"['rational behavior', 'a process of rational inference', 'rational thought']",WordNet,rational.a.01,consistent with or based on or using reason
239,Ability,irrational,low,"['irrational fears', 'irrational animals']",WordNet,irrational.a.01,not consistent with or using reason
240,Ability,creative,high,['a creative imagination'],WordNet,creative.a.01,having the ability or power to create
241,Ability,uncreative,low,['an uncreative imagination'],WordNet,uncreative.a.01,not creative
242,Ability,capable,high,"['capable of winning', 'capable of hard work', 'capable of walking on two feet']",WordNet,capable.a.01,(usually followed by `of') having capacity or ability
243,Ability,capable,high,"['capable teachers', 'a capable administrator', 'children as young as 14 can be extremely capable and dependable']",WordNet,able.s.02,have the skills and qualifications to do things well
244,Ability,incapable,low,"['incapable of carrying a tune', 'he is incapable of understanding the matter', 'incapable of doing the work']",WordNet,incapable.a.01,(followed by `of') lacking capacity or ability
245,Ability,practical,high,"['he is a very practical person', 'the idea had no practical application', 'a practical knowledge of japanese', 'woodworking is a practical art']",WordNet,practical.a.01,concerned with actual use or practice
246,Ability,impractical,low,"['refloating the ship proved impractical because of the expense', 'he is intelligent but too impractical for commercial work', 'an impractical solution']",WordNet,impractical.a.01,not practical; not workable or not given to practical matters
247,Ability,graceful,high,"['The dancers were all tall and graceful.', 'Dolphins are incredibly graceful and efficient swimmers.', 'She was slim and extremely graceful.']",Oxford Learner's Dictionary,graceful.a.01,"characterized by beauty of movement, style, form, or execution"
248,Ability,felicitous,high,['a felicitous speaker'],WordNet,felicitous.a.01,exhibiting an agreeably appropriate manner or style
249,Ability,clumsy,low,"['a clumsy lad with long ungainly legs', 'clumsy fingers', 'what a clumsy creature a giraffe is', 'heaved his clumsy figure out of his chair']",WordNet,gawky.s.01,lacking grace in movement or posture
250,Ability,clumsy,low,"['an clumsy prose style', 'a clumsy apology', 'his clumsy writing style', 'if the rumor is true, can anything be more clumsy than to repeat it now?']",WordNet,awkward.s.04,not elegant or graceful in expression
251,Ability,clumsy,low,"['a clumsy workman', 'did a clumsy job', 'his clumsy attempt to put up a shelf']",WordNet,bungling.s.01,showing lack of skill or aptitude
252,Ability,imaginative,high,"['an imaginative use of material', 'the invention of the knitting frame by another imaginative english clergyman', 'an imaginative device', 'had an imaginative turn of mind', 'imaginative ceramics']",WordNet,imaginative.s.01,(used of persons or artifacts) marked by independence and creativity in thought or action; ; - Lewis Mumford
253,Ability,unimaginative,low,"['a unimaginative ideology lacking in originality', 'unimaginative development of a musical theme', 'unimaginative writing']",WordNet,sterile.s.03,deficient in originality or creativity; lacking powers of invention
254,Ability,foolish,low,"['foolish remarks', 'a foolish decision']",WordNet,foolish.a.01,devoid of good sense or judgment
255,Ability,shrewd,high,"['a shrewd businessman', 'an shrewd tenant always reads the small print in a lease', 'he was too shrewd to go along with them on a road that could lead only to their overthrow']",WordNet,astute.s.01,marked by practical hardheaded intelligence
256,Ability,critical,high,"['a critical reading', 'a critical dissertation', ""a critical analysis of melville\'s writings""]",WordNet,critical.a.03,characterized by careful evaluation and judgment
257,Ability,naive,low,"[""a teenager\'s naive ignorance of life"", 'the naive assumption that things can only get better', 'this naive simple creature with wide friendly eyes so eager to believe appearances']",WordNet,naive.a.01,marked by or showing unaffected simplicity and lack of guile or worldly experience
258,Ability,discriminating,high,['the discriminating eye of the connoisseur'],WordNet,discriminating.a.01,showing or indicating careful judgment and discernment especially in matters of taste
259,Ability,undiscriminating,low,['an undiscriminating audience'],Oxford Learner's Dictionary,undiscriminating.a.01,not discriminating
260,Ability,inventive,high,"['an inventive use of material', 'the invention of the knitting frame by another inventive english clergyman', 'an inventive device', 'had an inventive turn of mind', 'inventive ceramics']",WordNet,imaginative.s.01,(used of persons or artifacts) marked by independence and creativity in thought or action; ; - Lewis Mumford
261,Ability,clever,high,"['an clever pupil', 'you are a clever man...you reason well and your wit is bold']",WordNet,apt.s.03,mentally quick and resourceful; ; -Bram Stoker
262,Ability,clever,high,"['a clever gadget', 'the clever maneuvers leading to his success', 'an clever solution to the problem']",WordNet,clever.s.03,showing inventiveness and skill
263,Ability,maladroit,low,"['a maladroit movement of his hand caused the car to swerve', 'a maladroit translation', 'maladroit propaganda']",WordNet,maladroit.a.01,not adroit
264,Ability,wise,high,"['a wise leader', 'a wise and perceptive comment']",WordNet,wise.a.01,having or prompted by wisdom or discernment
265,Ability,wise,high,"[""wise use of one\'s money"", 'a wise decision']",WordNet,judicious.s.01,marked by the exercise of good judgment or common sense in practical matters
266,Ability,wisdom,high,"['Do you have any more words of wisdom for us?', 'Consultants are too often seen as the source of all wisdom.']",Oxford Learner's Dictionary,wisdom.n.02,the trait of utilizing knowledge and experience with common sense and insight
267,Ability,folly,low,"['Do you have any more words of folly for us?', 'Consultants are too often seen as the source of all folly.']",Oxford Learner's Dictionary,folly.n.01,the trait of acting stupidly or rashly
268,Ability,unwise,low,['an unwise investor is soon impoverished'],WordNet,unwise.s.01,showing or resulting from lack of judgment or wisdom
269,Ability,efficient,high,"['people who will do nothing unless they get something out of it for themselves are often highly efficient persons...', 'efficient personnel', 'an efficient secretary', 'the efficient cause of the revolution']",WordNet,effective.s.02,able to accomplish a purpose; functioning effectively; -G.B.Shaw
270,Ability,effective,high,"['people who will do nothing unless they get something out of it for themselves are often highly effective persons...', 'effective personnel', 'an effective secretary', 'the effective cause of the revolution']",WordNet,effective.s.02,able to accomplish a purpose; functioning effectively; -G.B.Shaw
271,Ability,inefficient,low,"['an inefficient administration', 'inefficient workers']",WordNet,ineffective.s.03,lacking the ability or skill to perform effectively; inadequate
272,Ability,ineffective,low,"['an ineffective administration', 'ineffective workers']",WordNet,ineffective.s.03,lacking the ability or skill to perform effectively; inadequate
273,Ability,logical,high,['a logical mind'],WordNet,logical.a.01,capable of or reflecting the capability for correct and valid reasoning
274,Ability,illogical,low,"['illogical behaviour', 'From all this evidence he drew a strange and illogical conclusion.']",Oxford Learner's Dictionary,illogical.a.01,lacking in correct logical relation
275,Ability,brilliant,high,"['some men dislike brilliant women', 'a brilliant mind', 'a brilliant solution to the problem']",WordNet,brainy.s.01,having or marked by unusual and impressive intelligence
276,Ability,insightful,high,"['an insightful parent', 'the chapter is insightful and suggestive of new perspectives']",WordNet,insightful.s.01,exhibiting insight or clear and deep perception; ; -R.C.Angell
277,Ability,unperceptive,low,['as unperceptive as a boulder'],WordNet,unperceptive.a.01,lacking perception
278,Ability,unperceptive,low,"['an unperceptive parent', 'the chapter is unperceptive and suggestive of new perspectives']",Oxford Learner's Dictionary,unperceptive.s.02,"lacking sensitivity, taste, or judgment"
279,Ability,inept,low,"['inept attempts to repair the plumbing', 'inept handling of the account']",WordNet,feckless.s.02,generally incompetent and ineffectual
280,Ability,ability,high,['danger heightened his ability of discrimination'],WordNet,ability.n.01,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
281,Ability,ability,high,"['Students must demonstrate the ability to understand simple texts', 'She has an uncanny ability to predict what consumers will want', 'He has this innate ability to see beyond the range of most people']",Oxford Learner's Dictionary,ability.n.02,possession of the qualities (especially mental qualities) required to do something or get something done
282,Ability,inability,low,"['They have an inability to control their rage', 'the government\’s inability to provide basic services', 'Some families go without medical treatment because of their inability to pay']",Oxford Learner's Dictionary,inability.n.01,lack of ability (especially mental ability) to do something
283,Ability,inability,low,"['Inability to use a computer is a serious disadvantage when you are applying for jobs', 'In his inability to force this nameless woman to marry him, he faced a definite curtailment of his former power', 'Default risk is related to the inability of a borrower to reimburse a loan or a bond', 'In general terms, fatigue reflects an inability, (perceived or actual) to maintain the expected level of work']",Cambridge Dictionary,inability.n.02,lacking the power to perform
284,Agency,agency,high,"['the agency of providence', 'she has free agency']",WordNet,agency.n.03,the state of being in action or exerting power
285,Agency,confident,high,"['a confident speaker', 'a confident reply', 'his manner is more confident these days', 'confident of fulfillment']",WordNet,confident.a.01,having or marked by confidence or assurance
286,Agency,diffident,low,"[""she was diffident when offering a comment on the professor\'s lecture""]",WordNet,diffident.s.01,showing modest reserve
287,Agency,confidence,high,"['his confidence in his superiority did not make him popular', 'after that failure he lost his confidence', 'she spoke with confidence']",WordNet,assurance.n.01,freedom from doubt; belief in yourself and your abilities
288,Agency,doubt,low,"['a feeling of doubt and uncertainty', ' There is no doubt at all that we did the right thing', 'New evidence has cast doubt on the guilt of the man jailed for the crime', 'Whether he will continue to be successful in future is open to doubt']",Oxford Learner's Dictionary,doubt.n.01,the state of being unsure of something
289,Agency,fear,low,"['I suddenly felt gripped by fear.', 'Terror attacks are a tool to instil fear in the public.', 'The child was shaking with fear.']",Oxford Learner's Dictionary,fear.n.01,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
290,Agency,fear,low,"['fear had aged him', 'they hushed it up out of fear of public reaction']",WordNet,concern.n.02,an anxious feeling
291,Agency,fearlessness,high,['you showed complete fearlessness in the face of danger.'],Oxford Learner's Dictionary,fearlessness.n.01,feeling no fear
292,Agency,fearlessness,high,"['their fearlessness in the face of the enemy', 'You need a certain fearlessness to challenge the government']",Cambridge Dictionary,fearlessness.n.02,the trait of feeling no fear
293,Agency,assertiveness,high,['an assertiveness training course'],WordNet,assertiveness.n.01,aggressive self-assurance; given to making bold assertions
294,Agency,unassertiveness,low,['How Assertiveness and Unassertiveness Abilities Are Associated With Extraversion and Agreeableness'],Books and Articles,unassertiveness.n.01,diffidence about self promotion
295,Agency,assertive,high,"['an energetic assertive boy who was always ready to argue', 'pointing directly at a listener is an assertive act']",WordNet,assertive.a.01,aggressively self-assured
296,Agency,unassertive,high,['a shy unassertive person'],WordNet,unassertive.a.01,inclined to timidity or lack of self-confidence
297,Agency,secure,high,['he was secure that nothing will be held against him'],WordNet,secure.a.01,free from fear or doubt; easy in mind
298,Agency,insecure,low,['an insecure person lacking mental stability'],WordNet,insecure.a.03,lacking self-confidence or assurance
299,Agency,lazy,low,"['lazy kings under whose rule the country languished', 'a lazy hanger-on', 'too lazy to wash the dishes', 'lazy idle youth', 'lazy employees', 'the unemployed are not necessarily lazy']",WordNet,faineant.s.01,disinclined to work or exertion
300,Agency,striver,high,"['Tory was known to be an extremely striver, often taking on large workloads']",Cambridge Dictionary,slave.n.02,someone who works as hard as a slave
